Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
2-Ethyl-3-Methoxypyrazine,CCC1=NC=CN=C1OC,25680-58-4,5.733,1.18,0.8634958019585274,low-fidelity RED
2-Hexen-4-olide,CCC1C=CC(=O)O1,2407-43-4,7.14,1.006,0.9058835465996724,low-fidelity RED
γ-Hexalactone,CCC1CCC(=O)O1,695-06-7,7.139,0.9546,0.9775607398008571,low-fidelity RED
Acetyl Butyryl,CCCC(=O)C(=O)C,3848-24-6,6.844,0.8796,0.8200609733428367,low-fidelity RED
"N,N-Dimethyl Butyramide",CCCC(=O)N(C)C,760-79-2,6.459,0.9238,0.9072623655812035,high-fidelity RED
"n-(Heptan-4-Yl)Benzo(D)(1,3)Dioxole-5-Carboxamide",CCCC(CCC)NC(=O)c1ccc2OCOc2c1,745047-51-2,7.108,1.4,0.9233092656309696,low-fidelity RED
Para-Jasmone,CCCC[C@H]1C[C@@H](C(=O)O1)C(=O)C,40010-99-9,8.045,1.181,0.8902246907382432,low-fidelity RED
Octalactone,CCCCC1CCC(=O)O1,104-50-7,7.243,1.115,0.9154916711800278,low-fidelity RED
6-Amyl-α-Pyrone,CCCCCC1=CC=CC(=O)O1,27593-23-3,6.983,1.136,0.9013878188659971,low-fidelity RED
3-Nonen-4-olide,CCCCCC1=CCC(=O)O1,51352-68-2,7.183,1.109,0.7591113225344487,low-fidelity RED
5-Pentyl-5H-Furan-2-One,CCCCCC1C=CC(=O)O1,21963-26-8,7.379,1.073,0.9990620601344044,low-fidelity RED
γ-Nonalactone,CCCCCC1CCC(=O)O1,104-61-0,7.26,1.072,0.9993748045653342,low-fidelity RED
"2-Hexyl-5 Or 6-Keto-1,4-Dioxane",CCCCCCC1COC(=O)CO1,65504-97-4,8.075,1.196,0.9357483636106447,low-fidelity RED
Capscaisin,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,2444-46-4,8.472,1.31,0.2936835031117683,low-fidelity RED
Nonyl Phenoxy Ethanol,CCCCCCCCCC1=CC=CC=C1OCCO,27986-36-3,8.148,1.109,0.8877640452282357,high-fidelity RED
n-Butylpropanamide,CCCCNC(=O)CC,2955-67-1,6.287,0.9457,0.8219641111386797,low-fidelity RED
Di-n-Butyl Sulfoxide,CCCCS(=O)CCCC,2168-93-6,6.17,0.9908,0.9581883948368407,high-fidelity RED
Dibutyl Sulfone,CCCCS(CCCC)(=O)=O,598-04-9,5.729,0.8662,0.9394147114027974,low-fidelity RED
n-Propylpropanamide,CCCNC(=O)CC,3217-86-5,6.133,0.986,0.7044501401802684,low-fidelity RED
2-Propoxypyrazine,CCCOc1cnccn1,,5.937,1.301,0.8246211251235324,low-fidelity RED
Di-n-Propyl Sulfoxide,CCCS(=O)CCC,4253-91-2,5.872,0.9254,0.532094916344819,high-fidelity RED
"N,N-Diethyl Acetamide",CCN(CC)C(=O)C,685-91-6,5.812,0.8708,0.8415016339853424,high-fidelity RED
N-Ethyl Propanamide,CCNC(CC)=O,5129-72-6,6.34,0.8557,0.6950719387228927,low-fidelity RED
Ethyl Nicotinate,CCOC(=O)C1=CN=CC=C1,614-18-6,7.174,1.162,0.8518362518700414,low-fidelity RED
"Benzene, 1-Ethoxy-4-Nitro-",CCOC1=CC=C(C=C1)[N+](=O)[O-],100-29-8,7.401,1.155,0.88952234373286,low-fidelity RED
4-Ethoxy Acetophenone,CCOC1=CC=C(C=C1)C(=O)C,1676-63-7,7.673,1.062,0.670820393249937,high-fidelity RED
Homoanisaldehyde,CCOC1=CC=C(C=C1)C=O,10031-82-0,7.206,1.091,0.817389136213591,low-fidelity RED
4-Ethoxyacetanilide,CCOC1=CC=C(NC(C)=O)C=C1,62-44-2,8.046,1.108,0.6623820649745891,low-fidelity RED
2-Methyl-6-Ethoxypyrazine,CCOC1=NC(=CN=C1)C,53163-97-6,6.808,1.21,0.8634958019585274,low-fidelity RED
2-Methyl-5-Ethoxypyrazine,CCOC1=NC=C(N=C1)C,67845-34-5,6.572,1.22,0.8634958019585274,low-fidelity RED
2-Methyl-3-Ethoxypyrazine,CCOC1=NC=CN=C1C,32737-14-7,6.375,1.158,0.8634958019585274,low-fidelity RED
5-Ethoxypyrimidine,CCOc1cncnc1,,6.606,1.12,0.5460082416960393,low-fidelity RED
2-Ethoxypyrimidine,CCOc1ncccn1,,6.089,0.9989,0.5460082416960393,low-fidelity RED
Methyl Ethoxypyrazine,CCOCC1=NC=CN=C1,65504-94-1,6.376,1.195,0.9387491677759293,low-fidelity RED
"Benzene, (Ethylsulfonyl)-",CCS(=O)(=O)C1=CC=CC=C1,599-70-2,6.478,0.962,0.34003676271838623,low-fidelity RED
Chloranil ,ClC(C(C(Cl)=C1Cl)=O)=C(C1=O)Cl,118-75-2,6.08,0.8998,0.7988272654335227,low-fidelity RED
