Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
α-Chloro Acrylonitrile,ClC(=C)C#N,920-37-6,5.635,0.9196,0.7786205751198716,low-fidelity RED
Chloranil ,ClC(C(C(Cl)=C1Cl)=O)=C(C1=O)Cl,118-75-2,6.08,0.8998,0.7305819598101225,low-fidelity RED
"Tetrachloro-1,2-Benzoquinone ",ClC(C(Cl)=C(C1=O)Cl)=C(C1=O)Cl,2435-53-2,6.085,0.9425,0.7305819598101225,low-fidelity RED
2-Methyl-1-Chloro Acrolein,ClC(C=O)=CC,53175-28-3,5.645,0.8125,0.5749999999999995,high-fidelity RED
Butanedioyl Dichloride,ClC(CCC(Cl)=O)=O,543-20-4,5.879,0.8762,0.3937003937005908,low-fidelity RED
Dichloroacetic Anhydride,ClC(Cl)C(=O)OC(=O)C(Cl)Cl,4124-30-5,5.856,1.019,0.30207614933986415,low-fidelity RED
Dichloroacetyl Chloride,ClC(Cl)C(Cl)=O,79-36-7,5.772,0.8961,0.5963430220938284,low-fidelity RED
Chlorfenvinphos,Clc1cc(Cl)ccc1C(OP(=O)(OCC)OCC)=[C@H]Cl,470-90-6,5.692,1.427,0.8139410298049853,low-fidelity RED
3-Chloroacetanilide,Clc1cc(NC(=O)C)ccc1,588-07-8,6.473,1.08,0.9199184746487052,low-fidelity RED
(p-Chlorophenyl)Acetonitrile,Clc1ccc(cc1)CC#N,140-53-4,6.45,1.108,0.9069178573608532,low-fidelity RED
2-Chloroacetanilide,Clc1ccccc1NC(=O)C,533-17-5,6.385,1.078,0.975961064797156,low-fidelity RED
Ipazine,Clc1nc(nc(n1)N(CC)CC)NC(C)C,1912-25-0,5.916,1.228,0.8692669325356857,low-fidelity RED
Trietazine,Clc1nc(nc(n1)N(CC)CC)NCC,1912-26-1,5.988,1.217,0.6745368781616021,low-fidelity RED
Terbuthylazine,Clc1nc(nc(n1)NC(C)(C)C)NCC,5915-41-3,5.91,1.108,0.5711829829397931,low-fidelity RED
Propazine,Clc1nc(nc(n1)NC(C)C)NC(C)C,139-40-2,6.039,1.053,0.5196152422706631,low-fidelity RED
"2-Chloro-4-Ethylamino-6-Isopropylamino-1,3,5-Triazine (Atrazine)",Clc1nc(nc(n1)NC(C)C)NCC,1912-24-9,6.661,1.158,0.5232112384114084,low-fidelity RED
Cyanazine,Clc1nc(nc(n1)NC(C#N)(C)C)NCC,21725-46-2,6.523,1.256,0.7215434844830908,low-fidelity RED
Benzenesulfonyl Chloride ,ClS(C1=CC=CC=C1)(=O)=O,98-09-9,5.715,0.8757,0.8735702604828081,low-fidelity RED
