Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Pyroxychlor,ClC(Cl)(Cl)c1cc(OC)nc(Cl)c1,7159-34-4,5.223,1.1,0.9263503656824448,low-fidelity RED
Nitrapyrin,ClC(Cl)(Cl)c1nc(Cl)ccc1,1929-82-4,5.903,1.066,0.7697402159170326,low-fidelity RED
Tridiphane,ClC(Cl)(Cl)CC1(OC1)c2cc(Cl)cc(Cl)c2,58138-08-2,5.802,1.162,0.6562202374203343,low-fidelity RED
Captan,ClC(Cl)(Cl)SN1C(=O)C2C/C=C\CC2C1=O,133-06-2,5.479,1.153,0.8154753215150046,low-fidelity RED
Hexachloropropene,ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,1888-71-7,4.426,0.8718,0.9766012492312295,low-fidelity RED
"Benzal Chloride (Alpha,a-Dichlorobenzene)",ClC(Cl)C1=CC=CC=C1,98-87-3,5.436,0.8608,0.7794228634059943,high-fidelity RED
Alpha (Cis)\Chlordane,ClC1(Cl)[C]2(Cl)C(/Cl)=C(/Cl)[C]1(Cl)[C@@H]3[C@@H](Cl)[C@@H](Cl)C[C@H]23,5103-71-9,5.632,0.9725,0.7470776398741967,low-fidelity RED
Chlordane (Trans),ClC1(Cl)[C]2(Cl)C(/Cl)=C(/Cl)[C]1(Cl)[C@@H]3[C@@H](Cl)[C@H](Cl)C[C@H]23,5103-74-2,5.632,0.9725,0.7470776398741967,low-fidelity RED
"1,2,3,4-Tetrachloronaphthalene",ClC1=C(C(=C(C2=C1C=CC=C2)Cl)Cl)Cl,20020-02-4,5.747,0.9112,0.8905756565278439,low-fidelity RED
"O,P'-Ddd",ClC1=C(C=CC=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl,53-19-0,5.672,1.133,0.6749999999999999,low-fidelity RED
1-Chloronaphthalene,ClC1=C(C=CC=C2)C2=CC=C1,90-13-1,6.165,0.9686,0.6051859218455105,high-fidelity RED
Dieldrin,ClC1=C(Cl)[C]2(Cl)[C@H]3[C@@H]([C]1(C2(Cl)Cl)Cl)[C@H]5C[C@@H]3[C@@H]4O[C@H]45,60-57-1,5.848,1.081,0.658596993615974,low-fidelity RED
"Benzene, 1,2,4,5-Tetrachloro-3-Methoxy-",ClC1=C(Cl)C(=C(Cl)C(=C1)Cl)OC,6936-40-9,5.33,1.14,0.9195787078874762,low-fidelity RED
o-Dichlorobenzene,ClC1=C(Cl)C=CC=C1,95-50-1,5.482,0.744,0.7705517503711219,high-fidelity RED
Endrin,ClC1=C(Cl)C2(Cl)C4C(C1(C2(Cl)Cl)Cl)C5C3OC3C4C5,72-20-8,5.848,1.081,0.658596993615974,low-fidelity RED
Octachloronaphthalene,ClC1=C(Cl)C2=C(C(=C1Cl)Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,2234-13-1,5.548,0.7987,0.6604922406811455,low-fidelity RED
"1,3,5-Trichlorobenzene",ClC1=CC(Cl)=CC(Cl)=C1,108-70-3,5.453,0.8716,0.7553972464869063,low-fidelity RED
m-Dichlorobenzene,ClC1=CC(Cl)=CC=C1,541-73-1,5.427,0.883,0.6547900426854395,high-fidelity RED
